"","rep","boot_mean","boot_median","boot_sd","boot_p05","boot_p95","fe_est","fe_se"
"5%295",296,1.98467644045484,1.98413783390514,0.0101129328642676,1.96891338787,2.00137947297609,1.98513623970228,0.0106754532488214
"5%296",297,2.00951362471199,2.00944703010773,0.00964367829218647,1.99358930452516,2.02615434707884,2.00920492278404,0.0134334049735152
"5%297",298,1.9912651055217,1.99145747837579,0.0085999349682456,1.97700324954598,2.00473232637976,1.99097561156745,0.00865689782134561
"5%298",299,2.0053436704947,2.00545512654717,0.00945380812904531,1.99085552099366,2.02092566611917,2.00517116712929,0.0100547747584219
"5%299",300,1.99800730343676,1.99831896877612,0.00909971630060542,1.98305431636706,2.01303857219738,1.99768108657955,0.0077993750361318
"5%300",301,2.01026172526077,2.01018041503616,0.00986605130634519,1.99410738745037,2.02661277100152,2.01088616054738,0.0113589779898441
"5%301",302,2.00219304323622,2.00249000870507,0.00854218794555651,1.98825357682338,2.01654448082998,2.00199556747565,0.0102134200178179
"5%302",303,1.99761459038977,1.99788102558432,0.00797502488743592,1.98438865284418,2.01033156362224,1.9974607716564,0.00851794275352366
"5%303",304,2.00815487271352,2.00838085341379,0.00836714333206162,1.99456401519176,2.02183691128899,2.00837610141232,0.00969106817455031
"5%304",305,2.01398670321924,2.01392412735632,0.00904150452623682,1.99977504007159,2.02831763636871,2.0137725587049,0.0121462950437728
"5%305",306,2.00583584506553,2.00581857279486,0.00863784797904619,1.99129382255627,2.02020499868118,2.00559121997041,0.01335087028055
"5%306",307,1.99268119809341,1.99291681571984,0.00791454061976989,1.97972919636477,2.00520094004164,1.9921167886134,0.00869566951514314
"5%307",308,1.99415382742682,1.99422451309857,0.00757535805056115,1.98212617718675,2.00693715546664,1.99413740352195,0.0100085992982352
"5%308",309,2.00015226175225,2.00049378835671,0.0082263595850678,1.9861525741964,2.01339232739653,2.00023937135295,0.00826806991361915
"5%309",310,1.99972759896028,1.9996097958796,0.0087848381384019,1.98573234726825,2.01565845730173,1.99987263225768,0.0113738651193036
"5%310",311,2.00265327726656,2.00266626739337,0.00872232889435024,1.98865874367259,2.01754115546963,2.00270387963036,0.0104131388578361
"5%311",312,2.00182705531344,2.00188960704996,0.00861156543345823,1.98775839213666,2.01566266492559,2.00213556156501,0.00852587162070327
"5%312",313,2.00133291395107,2.00129473921451,0.00829980169604888,1.98787015000461,2.01499004934266,2.00134716268445,0.00758206947325039
"5%313",314,2.0061606974179,2.00631379184478,0.00916420750556509,1.99068121862088,2.02048749449294,2.00583879098569,0.00917055172202914
"5%314",315,1.98518129680535,1.98526605273505,0.0095684738107869,1.97003036910072,2.00134550296252,1.98507397633577,0.0110095190178076
"5%315",316,1.99826407122706,1.998262067781,0.00951910683399611,1.98320764345415,2.01419151876348,1.99857962584824,0.00926618961300272
"5%316",317,2.00096127387715,2.00056875674771,0.00999572830577236,1.98477337893135,2.01700876920057,2.00064338376033,0.0122365353130144
"5%317",318,2.01046766218432,2.01061579175678,0.00868352969005416,1.99581324598614,2.02582312795021,2.0109519002124,0.0125955325235343
"5%318",319,1.99633170791523,1.996464067423,0.00851551084428252,1.98140404724625,2.01016322241773,1.99669036597686,0.00766299304015548
"5%319",320,1.98855113656457,1.98861767111076,0.00896733419535743,1.97400830859352,2.00292877098071,1.98864626537641,0.0110279581958479
"5%320",321,1.98902127209245,1.98912490753446,0.0083837687299723,1.9755084359318,2.00261330345583,1.98918130134005,0.0104988910015784
"5%321",322,2.00121203828647,2.00121039904411,0.00872513029872467,1.98653269412373,2.01505940480213,2.0015746803603,0.01070084177689
"5%322",323,1.99058192825118,1.99066474663695,0.00818313046398884,1.97699559828984,2.0039118903441,1.99068758486379,0.0104542997715051
"5%323",324,2.00247892695661,2.00245709206247,0.0103796812822059,1.9864376849372,2.02005278063228,2.00198870075056,0.0103236641872547
"5%324",325,1.9800754470626,1.97988724918253,0.00958021939314743,1.96412045565848,1.99544036537469,1.98024934052358,0.0143144438681556
"5%325",326,2.00547393093194,2.00551823288196,0.0085567871474015,1.99121949563134,2.01951970593279,2.00579512367802,0.011618319816214
"5%326",327,2.00561321328178,2.0058456058697,0.0104445805860027,1.98921967677206,2.02288685982848,2.00590659554116,0.0122878594022887
"5%327",328,2.00178790535357,2.00187932889468,0.00857376053222446,1.98787923925615,2.01606416016367,2.00189634433516,0.0131473869636759
"5%328",329,2.00744271387795,2.00713462803102,0.00827707067917459,1.99386809766348,2.02103619808678,2.00705469477594,0.00863723266378344
"5%329",330,2.00801920244447,2.00805514160108,0.00869970307700212,1.99375783206402,2.02232018677705,2.00774594322966,0.0087384840147886
"5%330",331,2.00504577669106,2.00505859938865,0.0100798232373761,1.98885718987063,2.02127885877673,2.00521188121676,0.0125215276952011
"5%331",332,1.99355122334203,1.99368250129533,0.0083473021950048,1.97920465326934,2.00692870299462,1.99355425349916,0.0113578421200901
"5%332",333,1.99467085969445,1.99438522739238,0.00737319664048012,1.98277408531831,2.00692541039208,1.99425892298707,0.0104751286547685
"5%333",334,2.00092625630988,2.00080322712952,0.00857718540314731,1.98707700490296,2.01484234961288,2.0010883440644,0.0100474416464841
"5%334",335,2.00564785894221,2.00549135047283,0.00757768895387291,1.9938564677681,2.01838753564056,2.00572852222704,0.0125055897383893
"5%335",336,2.00925707812197,2.00922167929441,0.00873783987075988,1.99460853691317,2.02397105762253,2.00874250553044,0.0147297635106272
"5%336",337,2.00914336234576,2.00941326131141,0.00918757359926693,1.99365692515912,2.02442894782998,2.00917302047215,0.0101737957610606
"5%337",338,1.99418134427506,1.99447111209849,0.00764626275293862,1.98141824693089,2.00627332800119,1.99365426790194,0.00914664414690916
"5%338",339,2.01087092734896,2.01103210204688,0.00871816578136404,1.99665305962454,2.0254383884731,2.01052052360772,0.0118894240425102
"5%339",340,2.00795296817768,2.00803100687112,0.00897422732568313,1.99313365696206,2.02289210333522,2.00784591253011,0.0118836872313266
"5%340",341,1.98554053109893,1.9857080013794,0.00940154431506409,1.97045961913313,2.0014984869223,1.98574502672652,0.00812524485172284
"5%341",342,2.00757415951188,2.00764930773712,0.00778911377114577,1.9950415743032,2.02068992458455,2.00796776112377,0.00670050294875053
"5%342",343,2.01706537440813,2.01690570980204,0.00871760261241835,2.00292925175801,2.03172471585083,2.01657735341066,0.0116480529334816
"5%343",344,1.99600074023636,1.99614993127098,0.00971431288311317,1.97972957752763,2.01152796047919,1.99615199714034,0.0121031081387992
"5%344",345,2.00521561456273,2.0053569315319,0.0108261158940314,1.98711856638656,2.02322685096851,2.00487553865956,0.0148414610492506
"5%345",346,1.98540057478836,1.98540315481684,0.00793359227654717,1.97212490875411,1.99795215004766,1.98531192828581,0.0112088983835784
"5%346",347,2.01077769219298,2.01074998346818,0.0105108173706687,1.9938805705069,2.02887066535062,2.01076583923188,0.0118329034825616
"5%347",348,2.0090713719048,2.00898225511844,0.00784364860553661,1.9966126235273,2.02198463967797,2.00900626062221,0.00802406857150655
"5%348",349,2.01371021665375,2.0135052765502,0.00926211645785197,1.99862622296725,2.02842455644477,2.01377550753699,0.0119691651630972
"5%349",350,2.0026951991482,2.00261267250632,0.00876272340695191,1.98812817249628,2.01709099940777,2.00278150530723,0.0079924038707595
"5%350",351,1.99883918922447,1.99902316730302,0.00852261415679124,1.9850820122994,2.012269800894,1.99885504020215,0.0133261448816794
"5%351",352,2.00188555330092,2.00186723064524,0.00793748416123565,1.98903435742211,2.01488835145572,2.00167351683019,0.00930202093285173
"5%352",353,2.01947449763636,2.01981676653746,0.00835032809119843,2.00558423271558,2.03359942050747,2.01970563058503,0.00806687234586698
"5%353",354,2.00020746683583,2.0000637602373,0.0076641549595374,1.98793942430134,2.01284837595574,2.00050797644713,0.00781472095727154
"5%354",355,2.01214484437874,2.01181188467391,0.0087873763747036,1.99779611963086,2.02618720227173,2.01226117134439,0.00996242814462995
"5%355",356,1.99898906906383,1.99925013704702,0.00811671986293567,1.98595625711024,2.01155230239112,1.99874266587334,0.00846240462905031
"5%356",357,2.00548454048508,2.00552404168928,0.00725532824559169,1.99342095633304,2.01774891349623,2.00530744012738,0.0110455663931558
"5%357",358,2.00338194737283,2.00348776227382,0.00819489008268765,1.98957371849582,2.01657360851153,2.00357009747569,0.00928427918251663
"5%358",359,2.00007002091467,1.99987925376868,0.00850412958084519,1.98660869319413,2.01461471612698,1.99977802524213,0.0104598774054448
"5%359",360,1.99372003189713,1.99346020842415,0.009487616361802,1.97881827734275,2.01007914564801,1.99380413016537,0.0101455452797199
"5%360",361,1.99217772439305,1.99213555028471,0.00714494707957946,1.9803448387814,2.00416411198397,1.99205778531949,0.00881644896154644
"5%361",362,2.00262092011074,2.00233942720324,0.00848311431103198,1.98862324357101,2.01671752983905,2.00298732538467,0.0101551731338497
"5%362",363,2.00348621409087,2.00395375599654,0.00816136709918341,1.98949405260959,2.01729815976982,2.00370141230145,0.0130593621264703
"5%363",364,1.99635902217583,1.99628672092407,0.00787859272932024,1.98367538045555,2.00984309806701,1.99610378269977,0.00878481677167513
"5%364",365,2.00224834768365,2.00252721701578,0.00952680494469251,1.98637905666449,2.01781208722758,2.0020843470177,0.011695408423349
"5%365",366,1.99883808854546,1.99896815827025,0.00753600548966641,1.98680232351805,2.01076869232787,1.99877237783116,0.00733205361646888
"5%366",367,2.00347876032057,2.00326278209498,0.00828736901963424,1.99034352603945,2.01756033542457,2.00353519269995,0.00822012612432895
"5%367",368,1.99659423545339,1.99675011000009,0.00852527388108451,1.98308729239235,2.01023905283708,1.9967882353422,0.01268108102556
"5%368",369,2.00749949243636,2.00746443045063,0.00823631096463064,1.99383236705232,2.02100955597817,2.00739236936698,0.0112178674698556
"5%369",370,2.00592298710293,2.00598420414792,0.00845529652580958,1.99174730890731,2.01971275719594,2.00600517566279,0.00974956690031081
"5%370",371,2.00278953846696,2.00283544256316,0.0122068987788458,1.98371938412669,2.02293160237516,2.00349624690666,0.0124323531920699
"5%371",372,1.99289898641024,1.99336710794617,0.0086472103112887,1.97867477985161,2.00604246036818,1.9927491479842,0.0107166982469084
"5%372",373,2.0096732983429,2.00949247029305,0.0120322594301581,1.99004165964122,2.02931905637511,2.00954965193531,0.0107721736663224
"5%373",374,1.98289018392171,1.98269784251114,0.00900260994982862,1.96925460099214,1.99830587279981,1.9832651162076,0.0115368710682386
"5%374",375,1.99547249727338,1.99529727755277,0.00820219303266844,1.98223930989469,2.00876649658755,1.9955820592836,0.00760422205459589
"5%375",376,1.98428959108035,1.98430480926494,0.00768028734235914,1.97179249849263,1.99637779349039,1.98415788330911,0.0139694360441867
"5%376",377,2.00209692565821,2.00199581114656,0.00825713493045179,1.98851102062334,2.01584278229238,2.00218500085042,0.011788940465986
"5%377",378,2.0116180148735,2.01148927303016,0.00860060068750605,1.99673946196539,2.02600189353968,2.01161842015414,0.0115052708244878
"5%378",379,2.00228503054635,2.0025717591373,0.00889822261134031,1.98687192634354,2.01600325736825,2.00211882128627,0.0134524002178027
"5%379",380,2.01171157348125,2.01145709004992,0.00982451924418926,1.99562113596127,2.02788572683767,2.01172851273426,0.00815779502508208
"5%380",381,1.99756365517862,1.99745784820292,0.00840820222284037,1.98376407783126,2.01172038524705,1.99734194898653,0.00941160004413771
"5%381",382,2.00356398431838,2.00357059943354,0.00909608750456558,1.98784685518118,2.01802322087491,2.0034227036458,0.00864347816276983
"5%382",383,1.99875342053254,1.99867213764071,0.00801068314652683,1.98559782373157,2.01146824125611,1.99899404439302,0.0105874833592043
"5%383",384,2.00920639270096,2.00913404595515,0.00982743753632747,1.99343207466336,2.02561163870203,2.0089995519985,0.0155227369038871
"5%384",385,2.00221833829551,2.00211585718013,0.0111845062626477,1.98415019027308,2.02057921853518,2.00224781813776,0.0160445036185568
"5%385",386,1.99047808961716,1.99049621944017,0.0085150925007542,1.97608318790739,2.00458297065014,1.99037198007996,0.00841308592400543
"5%386",387,2.00764023621011,2.00744534830465,0.00930051749360456,1.99199901241363,2.02303581167641,2.00744064784124,0.0121632627552646
"5%387",388,1.98435597351467,1.98459021388877,0.00937285725590745,1.96868580148904,1.99930545701765,1.98453515417267,0.0139872703856228
"5%388",389,1.99765828962637,1.99762449053766,0.00782649644593087,1.98414905072956,2.01019927970859,1.99806502227369,0.00834419970341102
"5%389",390,2.00405070392644,2.004072408773,0.00701673769266353,1.99273528531177,2.01546049587955,2.0043800187803,0.00808749501557505
"5%390",391,1.97981719127186,1.98006001412697,0.00922459443476734,1.96423060684488,1.99414950248849,1.97949610124045,0.0139352028163945
"5%391",392,2.00258969388513,2.00250328355103,0.00906443316124757,1.98751599449586,2.01747505663485,2.00288484057969,0.0103015291986501
"5%392",393,1.99645838956222,1.99647259505558,0.00899714207360473,1.98154802452597,2.01144773791796,1.99672197231445,0.0109081659374947
"5%393",394,1.98896361872606,1.98911155242849,0.00708282085064393,1.97732724979458,2.00022508866,1.9888109822016,0.00834745046993726
"5%394",395,1.99130635912533,1.99121362592645,0.0093296900049464,1.97536162970041,2.00610857725733,1.99170689065557,0.0118287653334806
"5%395",396,2.00187079410902,2.00177336251636,0.00909862171611757,1.9875540678004,2.0168686999546,2.00209670014047,0.0110504465179887
"5%396",397,1.99432560051769,1.99402468272504,0.00739420223381274,1.98231757892455,2.00677673895257,1.99438693731772,0.00607207338357577
"5%397",398,1.9951035626686,1.99508389111272,0.00792008183892623,1.98242869382724,2.0080734888716,1.99551676013616,0.00845983954440926
"5%398",399,1.99844485174634,1.99827122777653,0.00940968537567951,1.98311638718228,2.01345700553937,1.99851245894487,0.00977657500558427
"5%399",400,2.00463617217034,2.00477484959188,0.00861992347698595,1.99023196590277,2.018832814353,2.00503690987344,0.00953549847102245
"5%400",401,2.00048985955783,2.00097998729634,0.00888922787585852,1.98484344599812,2.01439122225318,2.00066797199047,0.0111400875292304
"5%401",402,2.01586651667556,2.01591171225142,0.00884161439298664,2.00095785656997,2.03025749028077,2.01604168101424,0.00944670056022646
"5%402",403,1.99051598475394,1.99085829926437,0.00860346774147097,1.97620054739518,2.00473151813488,1.99029302107993,0.0120868150559405
"5%403",404,1.97926552328594,1.97923198285222,0.00845335235831473,1.96572808444355,1.99350588282793,1.97959476153698,0.0124630766761852
"5%404",405,2.0102501570076,2.01002399637325,0.0101214795830401,1.99425610532617,2.02723918760389,2.0101571991764,0.0097522299439459
"5%405",406,2.0130657869081,2.01308039655374,0.0100569224657564,1.99630678343503,2.02929486247927,2.01296121267302,0.0144584306264704
"5%406",407,2.00535031741778,2.00544096867806,0.0100773466416221,1.98954114527913,2.02207103305082,2.00521221027603,0.0123099388589909
"5%407",408,1.99410021860799,1.99383062396299,0.00815927903118881,1.9814981288881,2.00787191724116,1.99413831178092,0.00810069741336766
"5%408",409,2.00196600857743,2.00218784057046,0.00910499615003115,1.98682510704265,2.01670196719979,2.00206648788694,0.0116587739152398
"5%409",410,1.97650990567765,1.97644060558043,0.0105648291788906,1.95880162657586,1.99341566370828,1.97633717385427,0.0118626147308551
"5%410",411,2.00278574948633,2.0027635902141,0.011099789094844,1.98438571441655,2.02074730018356,2.00265178268054,0.0168349756848935
"5%411",412,1.99627096666446,1.99609697600848,0.00850161357634923,1.9818839072449,2.01040855210475,1.99614274347641,0.00805406926265921
"5%412",413,1.99683111255738,1.99673146763366,0.00928118052938489,1.98160004329945,2.01198295773321,1.99677556174025,0.00961013999376865
"5%413",414,1.98048594995955,1.9805235556191,0.00915325063661384,1.96599074084072,1.99538287482675,1.98011356859375,0.00845172504958964
"5%414",415,2.00763038736149,2.00790135247911,0.00838984042678075,1.9936050439387,2.02136457540863,2.00735866135736,0.0100128370236892
"5%415",416,2.00998321747822,2.00995531097331,0.00935829645987663,1.99474708265062,2.02575044013583,2.00986467640647,0.0143314023890223
"5%416",417,1.99917893652384,1.99912068637806,0.00920451069208803,1.98402954517773,2.01418858716366,1.9987237979866,0.0131030760942998
"5%417",418,2.01048567291116,2.0107775485674,0.00773543199959893,1.99793467596606,2.02337886288585,2.01082932274309,0.00812931663053258
